,PKNAME
0,1
1,5
2,1
3,1
4,3
5,1
6,1
7,3
8,1
9,3
10,1
11,1
12,6
13,3
14,1
15,1
16,4
17,8
18,3
19,1
20,3
21,1
22,2
23,1
24,1
25,3
26,3
27,6
28,1
29,2
30,4
31,3
32,1
33,1
34,1
35,1
36,4
37,1
38,6
39,1
40,1
41,1
42,7
43,5
44,5
45,5
46,1
47,1
48,1
49,1
50,5
51,1
52,1
53,1
54,1
55,1
56,3
57,16
58,3
59,1
60,1
61,5
62,1
63,7
64,8
65,2
66,1
67,1
68,3
69,3
70,7
71,1
72,1
73,1
74,2
75,1
76,3
77,10
78,3
79,1
80,2
81,1
82,1
83,1
84,1
85,1
86,2
87,4
88,1
89,21
90,11
91,8
92,2
93,11
94,6
95,5
96,11
97,1
98,2
99,4
100,2
101,1
102,6
103,1
104,7
105,6
106,7
107,3
108,4
109,4
110,4
111,1
112,2
113,13
114,5
115,1
116,2
117,1
118,1
119,1
120,1
121,3
122,2
123,1
124,1
125,3
126,1
127,17
128,2
129,1
130,1
131,1
132,2
133,21
134,4
135,4
136,2
137,1
138,5
139,1
140,8
141,2
142,1
143,5
144,1
145,4
146,3
147,1
148,4
149,3
150,12
151,7
152,1
153,2
154,1
155,2
156,1
157,1
158,2
159,2
160,2
161,1
162,8
163,8
164,1
165,1
166,1
167,6
168,1
169,1
170,5
171,4
172,1
173,2
174,2
175,5
176,1
177,1
178,4
179,5
180,1
181,2
182,1
183,2
184,3
185,3
186,10
187,1
188,3
189,1
190,5
191,4
192,12
193,3
194,3
195,1
196,3
197,1
198,1
199,1
200,1
201,2
202,12
203,2
204,1
205,1
206,3
207,7
208,14
209,1
210,8
211,1
212,1
213,3
214,2
215,1
216,1
217,5
218,1
219,7
220,1
221,2
222,1
223,1
224,3
225,1
226,9
227,1
228,3
229,6
230,7
231,1
232,2
233,5
234,1
235,5
236,3
237,1
238,3
239,9
240,5
241,3
242,1
243,7
244,3
245,11
246,4
247,2
248,3
249,1
250,4
251,4
252,1
253,1
254,2
255,1
256,3
257,7
258,6
259,2
260,1
261,1
262,1
263,1
264,5
265,1
266,6
267,4
268,1
269,7
270,3
271,4
272,15
273,18
274,5
275,1
276,1
277,1
278,1
279,6
280,2
281,1
282,12
283,1
284,2
285,1
286,1
287,1
288,3
289,1
290,6
291,4
292,3
293,1
294,3
295,2
296,1
297,1
298,1
299,2
300,1
301,5
302,1
303,3
304,2
305,3
306,6
307,5
308,2
309,7
310,2
311,3
312,1
313,2
314,8
315,3
316,3
317,3
318,3
319,4
320,5
321,11
322,4
323,2
324,5
325,13
326,4
327,7
328,4
329,1
330,6
331,4
332,5
333,1
334,3
335,4
336,9
337,1
338,13
339,8
340,1
341,4
342,1
343,4
344,23
345,15
346,1
347,4
348,6
349,1
350,3
351,14
352,2
353,3
354,1
355,1
356,3
