,MYEAR,SHERPA,PKNAME
0,1921.0,False,2
1,1922.0,True,7
2,1924.0,False,4
3,1934.0,False,1
4,1952.0,True,1
5,1960.0,False,1
6,1962.0,True,1
7,1963.0,False,1
8,1964.0,False,1
9,1966.0,False,1
10,1969.0,True,1
11,1970.0,False,1
12,1970.0,True,7
13,1971.0,False,1
14,1972.0,False,1
15,1973.0,True,1
16,1974.0,False,1
17,1974.0,True,5
18,1975.0,False,2
19,1975.0,True,1
20,1976.0,False,1
21,1978.0,False,1
22,1978.0,True,1
23,1979.0,False,5
24,1979.0,True,1
25,1980.0,False,3
26,1980.0,True,1
27,1982.0,False,6
28,1982.0,True,5
29,1983.0,False,2
30,1983.0,True,1
31,1984.0,False,7
32,1984.0,True,2
33,1985.0,False,7
34,1986.0,False,2
35,1986.0,True,3
36,1987.0,False,3
37,1988.0,False,7
38,1988.0,True,3
39,1989.0,False,6
40,1989.0,True,2
41,1990.0,False,3
42,1990.0,True,1
43,1991.0,False,2
44,1992.0,False,6
45,1992.0,True,2
46,1993.0,False,5
47,1993.0,True,2
48,1994.0,False,4
49,1994.0,True,1
50,1995.0,False,1
51,1995.0,True,3
52,1996.0,False,12
53,1996.0,True,3
54,1997.0,False,7
55,1997.0,True,2
56,1998.0,False,4
57,1999.0,False,4
58,2000.0,False,2
59,2001.0,False,4
60,2001.0,True,1
61,2002.0,False,3
62,2003.0,False,3
63,2003.0,True,1
64,2004.0,False,7
65,2005.0,False,6
66,2006.0,False,8
67,2006.0,True,3
68,2007.0,False,6
69,2007.0,True,1
70,2008.0,False,1
71,2009.0,False,3
72,2009.0,True,2
73,2010.0,False,3
74,2011.0,False,4
75,2012.0,False,7
76,2012.0,True,3
77,2013.0,False,4
78,2013.0,True,4
79,2014.0,False,2
80,2014.0,True,15
81,2015.0,False,7
82,2015.0,True,7
83,2016.0,False,5
84,2017.0,False,6
85,2018.0,False,2
86,2018.0,True,3
87,2019.0,False,11
88,2021.0,False,2
89,2021.0,True,3
